element,web_name,team,team_name,next_opponent_id,next_opponent_name,is_home,opponent_strength,now_cost,selected_by_percent,element_type,code,team_code,opponent_team_code,ict_index,status,chance_of_playing_next_round,news,recent_form,recent_clean_sheets,recent_saves,recent_goals_conceded,recent_goals_scored,recent_assists,recent_threat,recent_influence,recent_creativity,recent_penalties_saved
155,Slater,6,Brighton,12,Liverpool,0,4,40,0.1,2,589100,36,14,0.0,u,0.0,has joined Harrogate Town on loan until January.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Tasker,6,Brighton,12,Liverpool,0,4,39,0.1,2,547720,36,14,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Mitoma,6,Brighton,12,Liverpool,0,4,61,1.7,3,451340,36,14,26.9,d,50.0,Ankle injury - 50% chance of playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Georginio,6,Brighton,12,Liverpool,0,4,56,0.3,3,463067,36,14,54.3,a,100.0,,3.2,0.2,0.0,0.4,0.2,0.2,26.4,13.0,8.58,0.0
159,March,6,Brighton,12,Liverpool,0,4,58,0.0,3,109345,36,14,0.0,i,0.0,Knee injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Minteh,6,Brighton,12,Liverpool,0,4,62,8.8,3,592031,36,14,98.0,a,,,4.4,0.6,0.0,1.0,0.0,0.4,21.8,14.039999999999997,31.019999999999992,0.0
161,Enciso,6,Brighton,12,Liverpool,0,4,54,0.0,3,474120,36,14,0.0,u,0.0,has joined Strasbourg permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Gruda,6,Brighton,12,Liverpool,0,4,54,0.1,3,513433,36,14,29.4,a,100.0,,0.8,0.0,0.0,0.8,0.0,0.0,2.0,2.7600000000000002,9.28,0.0
163,Hinshelwood,6,Brighton,12,Liverpool,0,4,51,0.0,3,532529,36,14,15.6,a,100.0,,3.4,0.0,0.0,1.0,0.2,0.4,6.2,14.320000000000002,8.16,0.0
164,O'Riley,6,Brighton,12,Liverpool,0,4,55,0.4,3,219249,36,14,19.0,u,0.0,has joined Marseille on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Sima,6,Brighton,12,Liverpool,0,4,54,0.0,3,516211,36,14,0.0,u,0.0,has joined Lens permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
